reportDate,slaName,regionName,supportDesk,groupName,contactType,m-SlaTime,m-SlaStage
02-16-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1654,1
02-12-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1152,1
02-11-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,613,1
02-11-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1003,1
02-10-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,5054,1
02-04-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,902,1
01-16-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,4455,1
02-06-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,886,1
01-21-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1358,1
02-05-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1204,1
02-04-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,903,1
02-04-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3307,1
02-04-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,3870,1
02-01-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,7311,1
01-28-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,6917,1
01-27-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,621,1
01-26-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,733,1
01-22-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,628,1
02-24-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2628,1
02-08-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,2191,1
06-09-2015 00000,SD-Speed-2,Novelis Asia,Service Desk,IT Service Desk NA L1,self-service,1568,1
